"nmqm","wfl.gekappt","bj","WL","Zentral","Gebtyp.23","Modern.Boden","Boden.Fak","kue.score.23","bad.score23","Fussboden.Heizung"
12.84,61,2003.5,"durchschnittliche",0,"anderer",0,"gut",0,1,1
16.55,58,2012.5,"durchschnittliche",0,"anderer",0,"gut",2,1,0
16.25,48,1983,"gute",0,"anderer",0,"gut",2,0,1
14.18,55,1993.5,"durchschnittliche",0,"anderer",0,"gut",0,0,0
12.29,83,1957.5,"gute",0,"anderer",0,"gut",0,1,0
15.63,80,1957.5,"gute",0,"anderer",0,"gut",0,1,0
15.61,140,1983,"beste",1,"anderer",0,"einfach",0,1,0
21.2,106,1939,"beste",1,"Wohnblock",0,"gut",0,0,0
11.27,78,1957.5,"gute",0,"anderer",0,"gut",0,1,0
20.04,160,1918,"durchschnittliche",1,"anderer",1,"gut",0,2,1
18.75,88,1957.5,"beste",1,"anderer",1,"wedernoch",1,1,0
14.58,72,1957.5,"durchschnittliche",0,"Wohnblock",0,"gut",0,2,0
16.12,60,2012.5,"durchschnittliche",0,"anderer",0,"gut",2,2,0
13.42,78,1957.5,"durchschnittliche",0,"Wohnblock",0,"gut",0,1,0
15.75,107,2003.5,"gute",0,"anderer",0,"wedernoch",3,2,1
18.86,79,1957.5,"gute",0,"anderer",0,"gut",3,1,0
14.86,128,1993.5,"gute",0,"anderer",0,"gut",0,3,1
17.59,83,1957.5,"durchschnittliche",1,"anderer",1,"gut",3,2,0
8.88,74,1957.5,"durchschnittliche",1,"anderer",0,"wedernoch",2,0,0
13.4,50,1918,"durchschnittliche",1,"anderer",0,"gut",0,0,0
9.94,69,1957.5,"beste",1,"anderer",0,"gut",2,1,0
12.36,115,1918,"gute",1,"anderer",0,"gut",0,2,0
8.67,62,1957.5,"gute",1,"anderer",0,"einfach",0,1,0
18.09,47,1957.5,"gute",1,"anderer",1,"gut",0,1,0
18.52,108,1918,"gute",1,"anderer",0,"gut",3,2,0
17.6,75,1993.5,"gute",1,"anderer",0,"gut",3,1,0
18.7,54,1918,"gute",1,"anderer",0,"gut",0,2,0
29.6,75,1957.5,"gute",1,"Hochhaus",0,"gut",0,3,0
16.72,131,2012.5,"gute",0,"anderer",0,"wedernoch",0,2,1
8.63,58,1939,"durchschnittliche",0,"Wohnblock",0,"gut",0,0,0
14.63,41,1972,"durchschnittliche",0,"anderer",1,"gut",1,1,0
15.09,74,1993.5,"durchschnittliche",0,"anderer",1,"gut",0,1,0
11.56,108,1983,"durchschnittliche",0,"anderer",0,"gut",0,1,0
18.9,73,1924,"durchschnittliche",0,"anderer",0,"gut",3,1,0
5.83,58,1939,"durchschnittliche",0,"Wohnblock",0,"gut",0,0,0
10.71,72,1972,"durchschnittliche",0,"Hochhaus",0,"gut",0,0,0
13.1,58,1957.5,"durchschnittliche",0,"Wohnblock",0,"gut",0,0,0
17.37,76,2012.5,"gute",0,"anderer",0,"gut",3,1,1
11.5,78,1957.5,"durchschnittliche",0,"Wohnblock",0,"gut",0,2,0
14.94,87,1983,"durchschnittliche",0,"Wohnblock",0,"gut",0,1,0
16.01,79,1957.5,"durchschnittliche",0,"anderer",1,"gut",0,1,0
11.14,49,1939,"durchschnittliche",0,"anderer",1,"gut",0,0,0
21.59,63,1957.5,"durchschnittliche",0,"anderer",1,"gut",0,1,1
12.49,53,1957.5,"durchschnittliche",0,"Wohnblock",0,"gut",0,1,0
16.63,83,1983,"durchschnittliche",0,"anderer",0,"gut",0,0,0
11.62,77,1957.5,"durchschnittliche",0,"anderer",0,"wedernoch",0,1,0
13.5,60,1957.5,"durchschnittliche",0,"Wohnblock",0,"gut",0,1,0
12.67,58,1957.5,"durchschnittliche",0,"Wohnblock",0,"gut",0,1,0
10.09,67,1957.5,"durchschnittliche",0,"anderer",0,"gut",0,0,0
12.91,67,1939,"durchschnittliche",0,"Wohnblock",0,"gut",0,1,0
9.22,102,1972,"durchschnittliche",0,"anderer",0,"wedernoch",0,0,0
11.11,98,1972,"durchschnittliche",0,"Wohnblock",0,"einfach",0,0,0
14.71,85,1972,"durchschnittliche",0,"anderer",1,"gut",0,1,0
16.39,61,1972,"durchschnittliche",0,"Wohnblock",0,"wedernoch",0,0,0
17.06,80,1957.5,"durchschnittliche",0,"anderer",0,"gut",2,1,0
21.07,75,1972,"durchschnittliche",0,"anderer",1,"gut",0,0,0
9.48,74,1972,"durchschnittliche",0,"anderer",0,"wedernoch",0,0,0
11.48,66,1957.5,"durchschnittliche",0,"anderer",0,"wedernoch",2,0,0
13.97,73,1957.5,"durchschnittliche",0,"anderer",0,"gut",0,1,0
21.25,80,1957.5,"gute",1,"anderer",0,"wedernoch",2,0,0
19.88,80,1918,"gute",1,"anderer",0,"gut",3,1,0
20.14,74,2003.5,"gute",1,"anderer",0,"gut",3,2,0
11.8,81,1957.5,"gute",1,"anderer",0,"gut",0,1,0
17.27,55,1972,"gute",1,"anderer",0,"gut",0,0,0
21.92,52,1918,"gute",1,"anderer",1,"gut",3,3,0
20.36,55,1924,"gute",1,"anderer",0,"gut",0,0,0
17.21,61,2003.5,"gute",1,"anderer",1,"wedernoch",3,1,0
15.52,87,2012.5,"gute",1,"anderer",0,"gut",0,1,0
16.67,63,1983,"gute",1,"anderer",0,"wedernoch",3,0,1
19.74,38,1957.5,"gute",1,"anderer",0,"gut",0,0,0
15.46,51,1924,"gute",1,"anderer",0,"gut",0,0,0
17.72,64,1924,"gute",1,"anderer",0,"gut",2,1,0
20,65,2012.5,"gute",1,"anderer",0,"gut",0,2,1
19.33,89,2018,"durchschnittliche",0,"anderer",0,"gut",0,1,0
13.43,54,1972,"gute",0,"anderer",0,"wedernoch",1,0,0
10.91,77,1983,"gute",0,"anderer",0,"gut",0,0,0
18.4,125,1924,"gute",0,"Wohnblock",0,"gut",3,3,0
15.26,78,1972,"gute",0,"anderer",0,"gut",2,0,1
21.94,31,1972,"durchschnittliche",0,"anderer",1,"wedernoch",1,0,0
17.46,57,1993.5,"durchschnittliche",0,"anderer",1,"gut",0,1,0
19.84,56,1983,"durchschnittliche",0,"anderer",0,"wedernoch",3,0,0
18.46,65,2003.5,"beste",1,"anderer",0,"gut",2,2,1
10.02,80,1957.5,"durchschnittliche",0,"anderer",0,"wedernoch",0,0,0
16.67,39,1993.5,"gute",1,"anderer",1,"einfach",0,0,0
9.11,62,1957.5,"gute",1,"anderer",0,"wedernoch",2,1,0
22.78,133,2020.5,"gute",1,"anderer",0,"wedernoch",3,2,1
31.46,75,2018,"gute",1,"anderer",0,"gut",3,2,1
14.38,48,1957.5,"gute",1,"anderer",0,"gut",2,0,0
9.47,89,1957.5,"gute",1,"anderer",0,"wedernoch",0,0,0
13.72,54,1957.5,"durchschnittliche",0,"anderer",1,"gut",0,1,0
15.67,60,1972,"durchschnittliche",0,"anderer",0,"gut",0,0,0
14.52,62,1993.5,"durchschnittliche",0,"anderer",0,"gut",3,0,0
18.25,60,1957.5,"durchschnittliche",0,"anderer",1,"wedernoch",2,1,0
11.06,48,1939,"durchschnittliche",0,"anderer",1,"gut",0,1,0
10.1,59,1957.5,"durchschnittliche",0,"anderer",0,"wedernoch",0,0,0
16.84,95,1957.5,"gute",1,"anderer",0,"gut",3,3,1
13.96,53,1972,"gute",1,"anderer",0,"wedernoch",0,0,0
15.85,62,1957.5,"gute",1,"anderer",0,"gut",0,0,0
20.25,59,1957.5,"gute",1,"anderer",0,"gut",0,0,0
17.77,51,1939,"gute",1,"anderer",0,"gut",0,0,0
15.97,72,1957.5,"gute",1,"anderer",0,"wedernoch",1,2,0
21.25,120,2003.5,"gute",1,"anderer",1,"gut",3,2,0
9.4,80,1924,"durchschnittliche",1,"Wohnblock",1,"gut",0,1,0
